update,episodes_finished,mean_return,rmse_g,cat_rate_g,mean_post_std_g,probe_rate,pi_loss,v_loss,entropy,total_loss
560,160,4.26187299566409,0.0002583506874514265,0.0,0.00024186471138609578,0.0,-0.014382270106580108,0.0009674763277871534,6.83820977807045,-0.08228062745183706
580,160,4.27757017911024,0.0003027927213644138,0.0,0.00023798902432487501,0.0,-0.015274162171408534,0.0013868776222807355,6.652889251708984,-0.08110961480997503
600,160,4.266339258150975,0.0013105791738033659,0.00625,0.0002421760015029281,0.0,-0.016289938590489328,0.0012125209577789064,6.687055855989456,-0.08255423442460597
620,160,4.22531494577351,0.00398238602579514,0.00625,0.00025256018833991244,0.0,-0.01700759172672406,0.0022741483116988093,6.901865303516388,-0.08488916861824691
640,160,4.249725967528758,0.004372331433519449,0.00625,0.00025022743860797405,0.0,-0.017690606648102403,0.001574824345880188,6.719647616147995,-0.08409966831095517
660,160,4.266314424118923,0.00025770301833633703,0.0,0.00024217410250876488,0.0,-0.015924445498967543,0.001866869191871956,6.615973263978958,-0.08115074248053133
680,160,4.291419764315938,0.00025924986099578804,0.0,0.00023639657529793688,0.0,-0.016606300545390695,0.0017070780595531687,6.794307470321655,-0.08369583520106971
700,160,4.294784124748257,0.0002870054410316138,0.0,0.00023429307729905404,0.0,-0.02055304526584223,0.0013974606117699295,6.702936947345734,-0.08688368019647896
720,160,4.290770487543422,0.0023363938570421755,0.00625,0.00023559566464413016,0.0,-0.01684061245759949,0.0024735451443120837,6.78182116150856,-0.08342204918153584
740,160,4.276689216703451,0.004413550548908361,0.0125,0.00024310637016981726,0.0,-0.018758037796942517,0.00106179619251634,6.544506877660751,-0.08367220778018236
760,160,4.270929942702427,0.002446254082953773,0.00625,0.00024085502487818157,0.0,-0.015442720905411988,0.0020139583211857826,6.506334692239761,-0.07949908659793437
780,160,4.267580920428834,0.00032153979132297034,0.0,0.0002411961419280953,0.0,-0.010376344027463347,0.0029389474948402494,6.6014993488788605,-0.07492186105810106
800,160,4.257719705622668,0.0010297534331450866,0.00625,0.00027182902410771736,0.0,-0.01796919622574933,0.0008558754743717145,6.936212807893753,-0.0869033841881901
820,160,4.330934443065502,0.0002573359491536616,0.0,0.00022893631131353632,0.0,-0.01864300115266815,0.0011569467751542106,6.719835162162781,-0.08526287809945643
840,160,4.2658228665717655,0.002969690084163471,0.0125,0.0002419012403432525,0.0,-0.018312739324755967,0.0034009035443887115,6.760250061750412,-0.08421478723175824
860,160,4.259056512573665,0.0004964047925610165,0.0,0.00024494674752469656,0.0,-0.01869685435667634,0.001735658101097215,6.660044699907303,-0.08442947082221508
