update,episodes_finished,mean_return,rmse_g,cat_rate_g,mean_post_std_g,probe_rate
1040,320,3.719923972009564,0.002683539470528141,0.003125,0.0006688608571364375,0.0
1060,320,3.740072562852295,0.0029392636950045753,0.015625,0.0007238945695397645,0.0
1080,320,3.736895370091877,0.002112755531743672,0.00625,0.0007321969602435873,0.0
1100,320,3.7169080248236126,0.0035958262378047016,0.009375,0.000705161367637021,0.0
1120,320,3.7175127467302174,0.0030544228657078155,0.009375,0.0007414225893542407,0.0
1140,320,3.7375203739527536,0.002420145187504952,0.0125,0.0007117098632316882,0.0
1160,320,3.7296227802109074,0.0009432870908310536,0.003125,0.0006772482012270158,0.0
1180,320,3.7193335457256262,0.0012253387876655058,0.003125,0.0006729498313033867,0.0
1200,320,3.727918516546823,0.0035677026303471662,0.009375,0.000832266665279836,0.0
1220,320,3.7264863713986536,0.0027922566080850883,0.00625,0.0008227861524962345,0.0
1240,320,3.7350803404038353,0.0010611515745270281,0.0,0.0007178524439598122,0.0
1260,320,3.71563317419069,0.0019711875467176778,0.003125,0.0007029964154594197,0.0
1280,320,3.737092498135655,0.0008057816474082315,0.0,0.000652047417874319,0.0
1300,320,3.7347946050784144,0.0012802781821723659,0.00625,0.0007001994452022998,0.0
1320,320,3.745609738831061,0.0014835532049975876,0.00625,0.0007077810662007442,0.0
1340,320,3.7489948950451826,0.0022728082935729614,0.00625,0.000716145528735857,0.0
1360,320,3.767176404616948,0.0027354634486256428,0.00625,0.0006273842283799182,0.0
1380,320,3.7223403175981105,0.0026154215771350617,0.009375,0.0007944897684179431,0.0
1400,320,3.749432560009775,0.001248793396047117,0.00625,0.0007025036350196267,0.0
1420,320,3.7384002951059307,0.0021265737838032333,0.00625,0.0007263186172984627,0.0
1440,320,3.7663684840663763,0.0022372422151197362,0.00625,0.0006300561426213231,0.0
1460,320,3.7529690436564147,0.0008658726449050122,0.0,0.000576319416233742,0.0
1480,320,3.7622062854453846,0.002671165870036393,0.003125,0.0005832070274951725,0.0
1500,320,3.775352452825531,0.0019974951431322163,0.009375,0.0006906566898433926,0.0
1520,320,3.8010810883313475,0.0011429091369624298,0.003125,0.0005192702017934321,0.0
1540,320,3.7884164752817826,0.0005601191459633314,0.0,0.0005400807954323095,0.0
1560,320,3.789604369598396,0.002700994678520503,0.0125,0.0006179641121467786,0.0
1580,320,3.8073316520397773,0.002547078385474695,0.009375,0.0006043450701717385,0.0
1600,320,3.808535300939353,0.0026468062401002615,0.00625,0.0006227866974314676,0.0
1620,320,3.8261596356228673,0.0005023243971849869,0.0,0.00048036415254849185,0.0
1640,320,3.831364672612763,0.0007532629336304157,0.0,0.0005487102508869928,0.0
1660,320,3.844956073766324,0.0005666561393438387,0.0,0.0004654682755575143,0.0
1680,320,3.832752610087206,0.0017017732825480043,0.00625,0.0006887333080303064,0.0
1700,320,3.8684713653929217,0.0018060762752044397,0.00625,0.000491777239206822,0.0
1720,320,3.885458671836801,0.003050253218684857,0.00625,0.0004950030220670136,0.0
1740,320,3.86544902948314,0.0006403016331484379,0.0,0.0005324979664292267,0.0
1760,320,3.8349345125062917,0.0015664873470326221,0.003125,0.0006131337426421565,0.0
1780,320,3.8667732879437056,0.001765734264277928,0.009375,0.0005181109048665299,0.0
1800,320,3.8445516052487747,0.003496334924545128,0.015625,0.0006417364318616334,0.0
1820,320,3.8571100624116736,0.0026933453062935805,0.003125,0.0005222413904706585,0.0
1840,320,3.857403974812537,0.0014116139659033178,0.003125,0.0005601737097899611,0.0
1860,320,3.8468019455616806,0.000761386540528439,0.0,0.0005553743226559563,0.0
1880,320,3.837872020699018,0.0016903855951971773,0.009375,0.0007214041641656337,0.0
1900,320,3.8556925713000707,0.003234677658561283,0.009375,0.0006599615907657381,0.0
1920,320,3.8811830399352494,0.0007320752003965421,0.0,0.0004813191281825698,0.0
1940,320,3.8985460208431277,0.003734148771126508,0.009375,0.0006031015174639816,0.0
1960,320,3.896312032828304,0.0023799010869810303,0.00625,0.0006194210459908693,0.0
1980,320,3.899218372879478,0.001144599150257131,0.003125,0.000491386151454878,0.0
2000,320,3.8796455621146237,0.0036244013508585937,0.009375,0.0004855854453008358,0.0
